key,question key,definition
A00001,Q00001,For Sale
A00002,Q00001,To Rent
A00003,Q00002,NULL
A00004,Q00003,This area only
A00005,Q00003,+ 0.25 miles
A00006,Q00003,+ 0.5 miles
A00007,Q00003,+ 1 miles
A00008,Q00003,+ 3 miles
A00009,Q00003,+ 5 miles
A00010,Q00003,+ 10 miles
A00011,Q00003,+ 15 miles
A00012,Q00003,+ 20 miles
A00013,Q00003,+ 30 miles
A00014,Q00003,+ 40 miles
A00015,Q00004,Studio
A00016,Q00004,1
A00017,Q00004,2
A00018,Q00004,3
A00019,Q00004,4
A00020,Q00004,5
A00021,Q00004,6
A00022,Q00004,7
A00023,Q00004,8
A00024,Q00004,9
A00025,Q00004,10+
A00026,Q00005,Studio
A00027,Q00005,1
A00028,Q00005,2
A00029,Q00005,3
A00030,Q00005,4
A00031,Q00005,5
A00032,Q00005,6
A00033,Q00005,7
A00034,Q00005,8
A00035,Q00005,9
A00036,Q00005,10+
A00037,Q00006,100000
A00038,Q00006,200000
A00039,Q00006,300000
A00040,Q00006,400000
A00041,Q00006,500000
A00042,Q00006,600000
A00043,Q00006,700000
A00044,Q00006,800000
A00045,Q00006,900000
A00046,Q00006,1000000
A00047,Q00006,2000000
A00048,Q00006,3000000
A00049,Q00006,4000000
A00050,Q00006,5000000
A00051,Q00006,6000000
A00052,Q00006,7000000
A00053,Q00006,8000000
A00054,Q00006,9000000
A00055,Q00006,10000000+
A00056,Q00007,100000
A00057,Q00007,200000
A00058,Q00007,300000
A00059,Q00007,400000
A00060,Q00007,500000
A00061,Q00007,600000
A00062,Q00007,700000
A00063,Q00007,800000
A00064,Q00007,900000
A00065,Q00007,1000000
A00066,Q00007,2000000
A00067,Q00007,3000000
A00068,Q00007,4000000
A00069,Q00007,5000000
A00070,Q00007,6000000
A00071,Q00007,7000000
A00072,Q00007,8000000
A00073,Q00007,9000000
A00074,Q00007,10000000+
A00075,Q00008,100
A00076,Q00008,200
A00077,Q00008,300
A00078,Q00008,400
A00079,Q00008,500
A00080,Q00008,600
A00081,Q00008,700
A00082,Q00008,800
A00083,Q00008,900
A00084,Q00008,1000
A00085,Q00008,2000
A00086,Q00008,3000
A00087,Q00008,4000
A00088,Q00008,5000
A00089,Q00008,6000
A00090,Q00008,7000
A00091,Q00008,8000
A00092,Q00008,9000
A00093,Q00008,10000+
A00094,Q00009,100
A00095,Q00009,200
A00096,Q00009,300
A00097,Q00009,400
A00098,Q00009,500
A00099,Q00009,600
A00100,Q00009,700
A00101,Q00009,800
A00102,Q00009,900
A00103,Q00009,1000
A00104,Q00009,2000
A00105,Q00009,3000
A00106,Q00009,4000
A00107,Q00009,5000
A00108,Q00009,6000
A00109,Q00009,7000
A00110,Q00009,8000
A00111,Q00009,9000
A00112,Q00009,10000+